#DiseaseName	SourceName	ConceptID	SourceID	DiseaseMIM	LastModified	Category
AL KAISSI SYNDROME	OMIM	C4540156	617694	617694	01 Oct 2017	Disease
AL-RAQAD SYNDROME	OMIM	C4085595	616459	616459	16 Feb 2016	Disease
Alacrima	SNOMED CT	C4012597	253215004	601549	16 Feb 2016	Disease
Alacrima	Human Phenotype Ontology	C4012597	HP:0000522	601549	16 Feb 2016	Disease
Alacrima	Undiagnosed Diseases Network,NIH	C4012597		601549	16 Feb 2016	Disease
Alacrima, achalasia, and mental retardation syndrome	NCBI curation	C3809738		615510	16 Feb 2016	Disease
Alacrima, congenital, autosomal dominant	NCBI curation	C4310836		103420	24 Aug 2016	Disease
Alagille syndrome 1	NCBI curation	C1956125		118450	16 Feb 2016	Disease
Alagille syndrome 2	NCBI curation	C1857761		610205	16 Feb 2016	Disease
Alagille syndrome, ATP8B1 related	Connective Tissue Gene Tests	CN235350			01 Mar 2016	Disease
Alagille syndrome, ATP8B1 related	Genetic Testing Registry (GTR)	CN235350	GTR000529620		01 Mar 2016	Disease
Alanine aminotransferase, plasma level of, quantitative trait locus 1	NCBI curation	C2676497		612363	16 Feb 2016	Disease
Alanine aminotransferase, plasma level of, quantitative trait locus 2	NCBI curation	C2676496		612364	16 Feb 2016	Disease
Alaninuria with microcephaly, dwarfism, enamel hypoplasia and diabetes mellitus	Office of Rare Diseases	C1859965	5026	202900	16 Feb 2016	Disease
Alar cleft, isolated	NCBI curation	C3553476		614687	16 Feb 2016	Disease
Alazami syndrome	NCBI curation	C3554439		615071	16 Feb 2016	Disease
Alazami-Yuan syndrome	NCBI curation	C4310702		617126	20 Jun 2017	Disease
Albinism	Office of Rare Diseases	C0001916	5768		16 Feb 2016	Disease
Albinism	Human Phenotype Ontology	C0001916	HP:0001022		16 Feb 2016	Disease
Albinism deafness syndrome	Office of Rare Diseases	C1845068	589	300700	16 Feb 2016	Disease
Albinism immunodeficiency	Office of Rare Diseases		590		16 Feb 2016	Disease
Albinism, minimal pigment type	Office of Rare Diseases	C2931403	8346		16 Feb 2016	Disease
Albinism, ocular, with late-onset sensorineural deafness	Office of Rare Diseases	C1845069	592	300650	24 Aug 2016	Disease
Albinism, ocular, with sensorineural deafness	NCBI curation	C1863198		103470	16 Feb 2016	Disease
Albinism, oculocutaneous, type V	NCBI curation	C3888401		615312	24 Aug 2016	Disease
Albinism, oculocutaneous, type VI	NCBI curation	C3695272			15 Feb 2018	Disease
Albinism, oculocutaneous, type VII	NCBI curation	C3808786		615179	24 Aug 2016	Disease
Albright like syndrome	Office of Rare Diseases		596		16 Feb 2016	Disease
Albright's hereditary osteodystrophy	Office of Rare Diseases	C2931404	5770		16 Feb 2016	Disease
Albuminuria	Human Phenotype Ontology	C0001925	HP:0012592		16 Feb 2016	Finding
Alcohol dependence	NCBI curation	C0001973		103780	06 Jul 2018	Disease
Alcohol dependence, susceptibility to	NCBI curation				16 Feb 2016	Disease
Alcohol-induced rhabdomyolysis	Human Phenotype Ontology	C4023355	HP:0011440		16 Feb 2016	Finding
Alcoholism	Human Phenotype Ontology	CN241664	HP:0030955		02 Apr 2017	Finding
Alcoholism, susceptibility to	NCBI curation				16 Feb 2016	Disease
Aldehyde oxidase deficiency	Human Phenotype Ontology	C1291266	HP:0002932		16 Feb 2016	Finding
Aldosterone Producing Adrenal Cortex Adenoma	Institute of Human Genetics,Klinikum rechts der Isar	C1706762			16 Feb 2016	Disease
Aldosterone to renin ratio, increased	NCBI curation	C1852324			16 Feb 2016	Disease
Aldosterone-producing adrenal adenoma, somatic	NCBI curation	C4017656			13 Dec 2018	Disease
Aldred syndrome	Office of Rare Diseases		8360		16 Feb 2016	Disease
Alexander Disease	GeneTests	C0270726	56683	203450	19 Oct 2018	Disease
Alexia	Human Phenotype Ontology	C0002018	HP:0010523		16 Feb 2016	Finding
Alexithymia	Human Phenotype Ontology	C0002020	HP:0031433		04 Apr 2018	Finding
alfentanil response - Dosage, Efficacy, Metabolism/PK	PharmGKB		982034197PA448084		06 Jul 2018	Pharmacological response
alfentanil response - Metabolism/PK	PharmGKB	CN236463	982034197		18 May 2016	Pharmacological response
ALG12-congenital disorder of glycosylation	SNOMED CT	C2931001	711155008	607143	25 Dec 2017	Disease
ALG9 congenital disorder of glycosylation	SNOMED CT	C2931006	720978005	608776	25 Dec 2017	Disease
ALK+ histiocytosis	Office of Rare Diseases		10577		16 Feb 2016	Disease
Alkaline phosphatase, plasma level of, quantitative trait locus 1	NCBI curation	C1868387		171720	16 Feb 2016	Disease
Alkaline phosphatase, plasma level of, quantitative trait locus 2	NCBI curation	C2676493		612367	16 Feb 2016	Disease
Alkaline phosphatase, plasma level of, quantitative trait locus 3	NCBI curation	C2676492		612368	16 Feb 2016	Disease
Alkaline phosphatase, plasma level of, quantitative trait locus 4	NCBI curation	C2676491		612369	16 Feb 2016	Disease
Alkalosis	Human Phenotype Ontology	C0002063	HP:0001948		16 Feb 2016	Finding
Alkaptonuria	Office of Rare Diseases	C0002066	5775	203500	16 Feb 2016	Disease
Alkaptonuria	GeneTests	C0002066	22213	203500	16 Feb 2016	Disease
Alkaptonuria	GeneReviews	C0002066	NBK1454	203500	16 Feb 2016	Disease
ALKURAYA-KUCINSKAS SYNDROME	OMIM	C4693347	617822	617822	13 Jan 2018	Disease
Alkylating Agents, anthracyclines and related substances, fluorouracil, and Platinum compounds response - Efficacy	PharmGKB	CN236460	1183491004		18 May 2016	Pharmacological response
ALL	Laboratory of Genetics and Genomics,Cincinnati Children's Hospital Medical Center				18 Jan 2019	Finding
all trans retinoic acid (ATRA) response	Center for Advanced Molecular Diagnostics, Cytogenetics Laboratory,Brigham and Women's Hospital	CN230750			16 Feb 2016	Pharmacological response
Allain-Babin-Demarquez syndrome	Office of Rare Diseases		124		16 Feb 2016	Disease
Allan-Herndon-Dudley syndrome	Office of Rare Diseases	C0795889	5617	300523	16 Feb 2016	Disease
Allan-Herndon-Dudley syndrome	Genetics Home Reference	C0795889	allan-herndon-dudley-syndrome	300523	16 Feb 2016	Disease
Allantoic cyst	Human Phenotype Ontology	C4551690	HP:0030754		02 Apr 2017	Finding
Allergic angiitis	Office of Rare Diseases		5776		16 Feb 2016	Disease
Allergic autoimmune thyroiditis	Office of Rare Diseases		5777		16 Feb 2016	Disease
Allergic bronchopulmonary aspergillosis	Office of Rare Diseases	C3278302	602	103920	16 Feb 2016	Disease
Allergic bronchopulmonary aspergillosis	SNOMED CT	C3278302	37981002	103920	16 Feb 2016	Disease
Allergic conjunctivitis	Human Phenotype Ontology	C0009766	HP:0007879		16 Feb 2016	Finding
Allergic encephalomyelitis	Office of Rare Diseases		5779		16 Feb 2016	Disease
Allergic granulomatosis angiitis	SNOMED CT		82275008		16 Feb 2016	Disease
Allergic rhinitis	SNOMED CT	C2607914	61582004	607154	16 Feb 2016	Disease
Allergic rhinitis	Human Phenotype Ontology	C2607914	HP:0003193	607154	16 Feb 2016	Disease
Allergic rhinitis, susceptibility to	NCBI curation				16 Feb 2016	Disease
Allergy	Human Phenotype Ontology	C0020517	HP:0012393		16 Feb 2016	Finding
Allergy/Immunologic/Infectious (adult onset)	Ambry Genetics	CN232462			16 Feb 2016	Finding
Allergy/Immunologic/Infectious (child onset)	Ambry Genetics	CN232532			16 Feb 2016	Finding
Alloalbuminemia	NCBI curation	CN220290			16 Feb 2016	Finding
Allodynia	Human Phenotype Ontology	C0458247	HP:0012533		16 Feb 2016	Finding
Allopurinol response	NCBI curation	CN160494			16 Feb 2016	Pharmacological response
allopurinol response - Dosage, Efficacy	PharmGKB		1447982582PA448320		06 Jul 2018	Pharmacological response
allopurinol response - Efficacy	PharmGKB	CN240585	1447982582		17 Feb 2017	Pharmacological response
Almond-shaped palpebral fissure	Human Phenotype Ontology	C4024780	HP:0007874		16 Feb 2016	Finding
Almond-shaped palpebral fissure	International Standards For Cytogenomic Arrays Consortium (ISCA)	C4024780			16 Feb 2016	Finding
Alobar holoprosencephaly	ISCA site 1	C0431363			26 Jul 2018	Disease
Alobar holoprosencephaly	Human Phenotype Ontology	C0431363	HP:0006988		26 Jul 2018	Disease
Aloi Tomasini Isaia syndrome	Office of Rare Diseases		417		16 Feb 2016	Disease
Alopecia	International Standards For Cytogenomic Arrays Consortium (ISCA)	C0002170			16 Feb 2016	Finding
Alopecia	Human Phenotype Ontology	C0002170	HP:0001596		16 Feb 2016	Finding
Alopecia	SNOMED CT	C0002170	56317004		16 Feb 2016	Finding
Alopecia	GeneTests	C0002170	19520		16 Feb 2016	Finding
Alopecia areata	Human Phenotype Ontology	C0002171	HP:0002229		16 Feb 2016	Disease
Alopecia areata 1	NCBI curation	C1863094		104000	16 Feb 2016	Disease
Alopecia areata 2	NCBI curation	C1853104		610753	16 Feb 2016	Disease
Alopecia congenita keratosis palmoplantaris	Office of Rare Diseases	C3151468	604	104100	16 Feb 2016	Disease
Alopecia contractures dwarfism mental retardation	Office of Rare Diseases	C0795895	605	203550	16 Feb 2016	Disease
Alopecia immunodeficiency	Office of Rare Diseases		609		16 Feb 2016	Disease
Alopecia macular degeneration growth retardation	Office of Rare Diseases		610		16 Feb 2016	Disease
Alopecia mental retardation hypogonadism	Office of Rare Diseases		611		16 Feb 2016	Disease
Alopecia mental retardation syndrome 1	Office of Rare Diseases	C1859878	612	203650	16 Feb 2016	Disease
Alopecia mental retardation syndrome 2	Office of Rare Diseases	C1835852	4291	610422	16 Feb 2016	Disease
Alopecia of scalp	Human Phenotype Ontology	C1860137	HP:0002293		16 Feb 2016	Finding
Alopecia totalis	Human Phenotype Ontology	C0263504	HP:0007418		16 Feb 2016	Finding
Alopecia universalis	Human Phenotype Ontology	C0263505	HP:0002289		16 Feb 2016	Disease
Alopecia universalis	SNOMED CT	C0263505	86166000		16 Feb 2016	Disease
Alopecia universalis congenita	NCBI curation	C1859877		203655	16 Feb 2016	Disease
Alopecia universalis congenita, XY gonadal dysgenesis, and laryngomalacia	NCBI curation	C1837946		608509	16 Feb 2016	Disease
Alopecia universalis onychodystrophy vitiligo	Office of Rare Diseases		615		16 Feb 2016	Disease
Alopecia, androgenetic, 1	NCBI curation	C4049090		109200	24 Aug 2016	Disease
Alopecia, androgenetic, 2	NCBI curation	C2678038		300710	16 Feb 2016	Disease
Alopecia, androgenetic, 3	NCBI curation	C2676272		612421	16 Feb 2016	Disease
Alopecia, epilepsy, pyorrhea, mental subnormality	Office of Rare Diseases	C1863090	607	104130	16 Feb 2016	Disease
Alopecia, familial focal	NCBI curation	C1863092		104110	16 Feb 2016	Disease
Alopecia, neurologic defects, and endocrinopathy syndrome	NCBI curation	C2677535		612079	16 Feb 2016	Disease
Alopecia-mental retardation syndrome 3	NCBI curation	C3151362		613930	16 Feb 2016	Disease
Alopecia-mental retardation syndrome with convulsions and hypergonadotropic hypogonadism	NCBI curation	C1832593		601217	16 Feb 2016	Disease
Alpers encephalopathy	Shaikh Laboratory, University of Colorado	CN221139			16 Feb 2016	Disease
Alpha mannosidosis type II	NCBI curation	C1855396			24 Dec 2018	Disease
Alpha plus thalassemia	NCBI curation	C1456873			02 Mar 2016	Disease
alpha Thalassemia	SNOMED CT	C0002312	68913001	604131	16 Feb 2016	Disease
Alpha thalassemia-mental retardation syndrome	SNOMED CT	C0475813	277918006		16 Feb 2016	Disease
Alpha trait thalassemia	SNOMED CT	C0472762	191187006		16 Feb 2016	Disease
alpha, alpha-Trehalase deficiency	SNOMED CT	C0268187	84193000	612119	16 Feb 2016	Disease
Alpha-1-antitrypsin deficiency	SNOMED CT	C0221757	30188007	613490	16 Feb 2016	Disease
Alpha-2 deficient collagen disease	Office of Rare Diseases		616		16 Feb 2016	Disease
Alpha-2-macroglobulin deficiency	NCBI curation	C3279661		614036	16 Feb 2016	Disease
Alpha-amanitin resistance	NCBI curation				16 Feb 2016	Disease
Alpha-B crystallinopathy	NCBI curation	C1837317		608810	16 Feb 2016	Disease
Alpha-crystallinopathy	Orphanet	CN714016	98910		26 Dec 2017	Disease
alpha-Dystroglycan related dystrophy	NCBI curation	C2936406			16 Feb 2016	Disease
Alpha-EEG	Human Phenotype Ontology	C4023494	HP:0011178		16 Feb 2016	Finding
Alpha-fetoprotein deficiency	NCBI curation	C1863081		615969	16 Feb 2016	Disease
Alpha-fetoprotein, hereditary persistence of	NCBI curation	C1863080		615970	16 Feb 2016	Disease
Alpha-ketoglutarate dehydrogenase deficiency	Office of Rare Diseases	C2752074	617	203740	16 Feb 2016	Disease
Alpha-methylacyl-CoA racemase deficiency	NCBI curation	C3280428		614307	16 Feb 2016	Disease
Alpha-N-acetylgalactosaminidase deficiency	Genetic Services Laboratory, University of Chicago		NM_000262.2(NAGA):c.973G>A		25 Aug 2017	Disease
ALPHA-N-ACETYLGALACTOSAMINIDASE DEFICIENCY, TYPE III	OMIM		609241		16 Feb 2016	Disease
Alpha-thalassemia and related diseases	NCBI for submitter	CN257933	genomeconnect_17308_622		11 Oct 2018	Disease
Alpha-thalassemia, Hmong type	NCBI curation	C4016158			16 Feb 2016	Disease
Alpha-thalassemia, zf type	NCBI curation	C4016157			16 Feb 2016	Disease
Alpha-thalassemia-2, nondeletional	NCBI curation	C4016148			16 Feb 2016	Disease
Alpha-thalassemia-abnormal morphogenesis	Office of Rare Diseases		362		16 Feb 2016	Disease
Alpha-thalassemia/mental retardation syndrome	Genetic Services Laboratory, University of Chicago		NM_000489.3(ATRX):c.4626_4631del		09 Nov 2017	Disease
Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity	NCBI curation	C1835931		609889	16 Feb 2016	Disease
Alport syndrome	Office of Rare Diseases	C1567741	5785		16 Feb 2016	Disease
Alport syndrome	Genetics Home Reference	C1567741	alport-syndrome		16 Feb 2016	Disease
Alport syndrome	The Alport syndrome COL4A5 variant database	C1567741			16 Feb 2016	Disease
Alport syndrome	Lupski Lab, Baylor-Hopkins CMG,Baylor College of Medicine	C1567741			16 Feb 2016	Disease
Alport syndrome, autosomal dominant	NCBI curation	C1567743		104200	16 Feb 2016	Disease
Alport syndrome, autosomal recessive	NCBI curation	C1567744		203780	16 Feb 2016	Disease
Alport syndrome, X-linked recessive	NCBI curation	C1567742		301050	16 Feb 2016	Disease
ALS-like syndrome of encephalomyopathy	Office of Rare Diseases		10672		16 Feb 2016	Disease
ALS2-Related Disorders	GeneReviews	CN169291			16 Feb 2016	Disease
ALS2-Related Disorders	GeneReviews	CN169291	NBK1243		16 Feb 2016	Disease
Alsing syndrome	Office of Rare Diseases		9213		16 Feb 2016	Disease
Alstrom syndrome	Office of Rare Diseases	C0268425	5787	203800	16 Feb 2016	Disease
Alstrom syndrome	SNOMED CT	C0268425	63702009	203800	16 Feb 2016	Disease
alterations of great arteries and veins	Centre for Mendelian Genomics,University Medical Centre Ljubljana	CN239849	CMGVARID00030		11 Jan 2017	Disease
Altered function, association with	Biesecker Lab/Human Development Section,National Institutes of Health	CN231084			16 Feb 2016	Disease
Altered myosin contractile function	CSER_CC_NCGL; University of Washington Medical Center	CN221557	UWMG_2093061		16 Feb 2016	Disease
altered potassium channel function	Biesecker Lab/Human Development Section,National Institutes of Health	CN231063			16 Feb 2016	Disease
Alternating esotropia	Human Phenotype Ontology	C0152205	HP:0001137		16 Feb 2016	Finding
Alternating hemiplegia of childhood	SNOMED CT	C0338488	230466004		16 Feb 2016	Disease
Alternating hemiplegia of childhood	Office of Rare Diseases	C0338488	11		16 Feb 2016	Disease
Alternating hemiplegia of childhood 1	NCBI curation	C3549447		104290	16 Feb 2016	Disease
Alternating hemiplegia of childhood 2	NCBI curation	C3553788		614820	16 Feb 2016	Disease
Alternating radiolucent and radiodense metaphyseal lines	Human Phenotype Ontology	C4476913	HP:0031016		04 Apr 2018	Finding
Altitudinal visual field defect	Human Phenotype Ontology	C4073005	HP:0030531		16 Feb 2016	Finding
Altman type I sacrococcygeal teratoma	Human Phenotype Ontology	C4280795	HP:0030737		02 Apr 2017	Finding
Altman type II sacrococcygeal teratoma	Human Phenotype Ontology	C4280794	HP:0030738		02 Apr 2017	Finding
Altman type III sacrococcygeal teratoma	Human Phenotype Ontology	C4280793	HP:0030739		02 Apr 2017	Finding
Aluminosis of lung	SNOMED CT		90623003		16 Feb 2016	Disease
Alveolar bone loss around teeth	Human Phenotype Ontology	C4315963	HP:0410027		04 Apr 2018	Finding
Alveolar capillary dysplasia	Office of Rare Diseases		8644		16 Feb 2016	Disease
Alveolar cell carcinoma	NCBI curation				16 Feb 2016	Disease
Alveolar cell carcinoma	Human Phenotype Ontology	C0007120	HP:0006519		16 Feb 2016	Finding
Alveolar process hypoplasia	Human Phenotype Ontology	C1848905	HP:0006329		16 Feb 2016	Finding
Alveolar rhabdomyosarcoma	Office of Rare Diseases	C0206655	4701	268220	04 Apr 2018	Disease
Alveolar rhabdomyosarcoma	Human Phenotype Ontology	C0206655	HP:0006779	268220	04 Apr 2018	Disease
Alveolar ridge overgrowth	Human Phenotype Ontology	C1865598	HP:0009085		16 Feb 2016	Finding
Alveolar soft part sarcoma	Office of Rare Diseases	C0206657	5654	606243	16 Feb 2016	Disease
Alveolar soft part sarcoma	Human Phenotype Ontology	C0206657	HP:0012218	606243	16 Feb 2016	Disease
Alves Castelo dos Santos syndrome	Office of Rare Diseases		9284		16 Feb 2016	Disease
Alzheimer disease	Human Phenotype Ontology	CN002282	HP:0002511		16 Feb 2016	Disease
Alzheimer disease 17	NCBI curation	C3554452		615080	16 Feb 2016	Disease
Alzheimer disease 18	NCBI curation	C3810041		615590	16 Feb 2016	Disease
Alzheimer disease 19	NCBI curation	C3810349		615711	16 Feb 2016	Disease
Alzheimer disease 2	NCBI curation	C1863051		104310	02 Mar 2016	Disease
Alzheimer disease familial	Office of Rare Diseases	C0276496	632		16 Feb 2016	Disease
Alzheimer disease familial 3, with spastic paraparesis	NCBI curation	C4015782			17 Apr 2016	Disease
Alzheimer disease neuronal thread protein	NCBI curation	C1846282		607413	16 Feb 2016	Disease
Alzheimer disease, association with	Biesecker Lab/Human Development Section,National Institutes of Health	CN231085			16 Feb 2016	Disease
Alzheimer disease, early-onset, susceptibility to	NCBI curation				16 Feb 2016	Disease
Alzheimer disease, early-onset, with cerebral amyloid angiopathy	NCBI curation	C1863053			16 Feb 2016	Disease
Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology	NCBI curation	C1857933		605055	16 Feb 2016	Disease
Alzheimer disease, familial, 3, with spastic paraparesis and apraxia	NCBI curation	C1843015			16 Feb 2016	Disease
Alzheimer disease, familial, 3, with spastic paraparesis and unusual plaques	NCBI curation	C1843014			16 Feb 2016	Disease
Alzheimer disease, familial, 3, with unusual plaques	NCBI curation	C4015781			16 Feb 2016	Disease
Alzheimer disease, familial, with spastic paraparesis and unusual plaques	NCBI curation	C4015780			16 Feb 2016	Disease
Alzheimer disease, late-onset, susceptibility to	NCBI curation	C1834153			16 Feb 2016	Disease
Alzheimer disease, protection against	NCBI curation	C3549448			16 Feb 2016	Disease
Alzheimer disease, susceptibility to	NCBI curation				16 Feb 2016	Disease
Alzheimer disease, susceptibility to, mitochondrial	NCBI curation	C1838990		502500	16 Feb 2016	Disease
Alzheimer disease, type 1	NCBI curation	C2931257			16 Feb 2016	Disease
Alzheimer disease, type 10	NCBI curation	C1864828		609636	16 Feb 2016	Disease
Alzheimer disease, type 11	NCBI curation	C1853360		609790	16 Feb 2016	Disease
Alzheimer disease, type 12	NCBI curation	C1970209		611073	16 Feb 2016	Disease
Alzheimer disease, type 13	NCBI curation	C1970147		611152	16 Feb 2016	Disease
Alzheimer disease, type 14	NCBI curation	C1970144		611154	16 Feb 2016	Disease
Alzheimer disease, type 15	NCBI curation	C1970143		611155	16 Feb 2016	Disease
Alzheimer disease, type 16	NCBI curation	C2677888		300756	16 Feb 2016	Disease
Alzheimer disease, type 3	UCLA Clinical Genomics Center, UCLA	C1843013		607822	16 Feb 2016	Disease
Alzheimer disease, type 4	NCBI curation	C1847200		606889	16 Feb 2016	Disease
Alzheimer disease, type 5	NCBI curation	C1865868		602096	16 Feb 2016	Disease
Alzheimer disease, type 6	NCBI curation	C1854187		605526	16 Feb 2016	Disease
Alzheimer disease, type 7	NCBI curation	C1853555		606187	16 Feb 2016	Disease
Alzheimer disease, type 8	NCBI curation	C1846735		607116	16 Feb 2016	Disease
Alzheimer disease, type 9	NCBI curation	C4282179		608907	16 Feb 2016	Disease
Alzheimer's disease	SNOMED CT	C0002395	26929004	104300	16 Feb 2016	Disease
Alzheimer's disease without neurofibrillary tangles	Office of Rare Diseases	C1858751	7190	604154	16 Feb 2016	Disease
Amacr deficiency	NCBI curation				16 Feb 2016	Disease
Amastia, bilateral, with ureteral triplication and dysmorphism	NCBI curation	C1863015		104350	16 Feb 2016	Disease
Amaurosis congenita cone-rod type with congenital hypertrichosis	Office of Rare Diseases	C1859843	637	204110	16 Feb 2016	Disease
Amaurosis fugax	Office of Rare Diseases		9660		16 Feb 2016	Disease
Amaurosis fugax	Human Phenotype Ontology	C0149793	HP:0100576		16 Feb 2016	Finding
Ambiguous atrioventricular connection	Human Phenotype Ontology	C0344617	HP:0011552		16 Feb 2016	Finding
Ambiguous genitalia	Rare Disease Group, Clinical Genetics,Karolinska Institutet	C0266362			16 Feb 2016	Disease
Ambiguous genitalia	Human Phenotype Ontology	C0266362	HP:0000062		16 Feb 2016	Disease
Ambiguous genitalia	International Standards For Cytogenomic Arrays Consortium (ISCA)	C0266362			16 Feb 2016	Disease
Ambiguous genitalia	SNOMED CT	C0266362	21321009		16 Feb 2016	Disease
Ambiguous genitalia, female	Human Phenotype Ontology	C4025891	HP:0000061		16 Feb 2016	Finding
Ambiguous genitalia, male	Human Phenotype Ontology	C4021823	HP:0000033		16 Feb 2016	Finding
Amblyopia	Human Phenotype Ontology	C0002418	HP:0000646		16 Feb 2016	Finding
Ambras syndrome	Office of Rare Diseases	C1840362	8206	145701	16 Feb 2016	Disease
Amebiasis	Office of Rare Diseases		652		16 Feb 2016	Disease
Amegakaryocytic thrombocytopenia	Human Phenotype Ontology	C0398639	HP:0004859		16 Feb 2016	Finding
Amelia	Human Phenotype Ontology	C0002447	HP:0009827		16 Feb 2016	Finding
Amelia and terminal transverse hemimelia	NCBI curation	C1863014		104400	16 Feb 2016	Disease
Amelia cleft lip palate hydrocephalus iris coloboma	Office of Rare Diseases		641		16 Feb 2016	Disease
Amelia involving the lower limbs	Human Phenotype Ontology	C4024197	HP:0009818		16 Feb 2016	Finding
Amelia involving the upper limbs	Human Phenotype Ontology	C4024200	HP:0009812		16 Feb 2016	Finding
Amelia, autosomal recessive	NCBI curation	C1832432		601360	16 Feb 2016	Disease
Amelogenesis imperfecta	Office of Rare Diseases	C0002452	5791		16 Feb 2016	Disease
Amelogenesis imperfecta	Human Phenotype Ontology	C0002452	HP:0000705		16 Feb 2016	Disease
Amelogenesis imperfecta - hypoplastic autosomal dominant - local	SNOMED CT	C0399368	234961008	104500	16 Feb 2016	Disease
Amelogenesis imperfecta hypomaturation type	Office of Rare Diseases	C0399372	8349		16 Feb 2016	Disease
Amelogenesis imperfecta nephrocalcinosis	Office of Rare Diseases		646		16 Feb 2016	Disease
Amelogenesis imperfecta pigmented hypomaturation type	Office of Rare Diseases	C1290537	9495		16 Feb 2016	Disease
Amelogenesis Imperfecta, Dominant	Illumina Clinical Services Laboratory,Illumina	CN239159	21030		02 Dec 2016	Disease
Amelogenesis imperfecta, hypocalcification type	SNOMED CT	C0399376	109471001	130900	16 Feb 2016	Disease
Amelogenesis imperfecta, hypomaturation type IIA4	ClinVar	C3553830		614832	26 Feb 2017	Disease
Amelogenesis imperfecta, hypomaturation type IIA5	ClinVar	C4014578		615887	14 Oct 2017	Disease
Amelogenesis imperfecta, hypomaturation type IIA6	NCBI curation	C4310665		617217	20 Jun 2017	Disease
Amelogenesis imperfecta, hypomaturation type, IIA1	NCBI curation	C2673922		204700	16 Feb 2016	Disease
Amelogenesis imperfecta, hypomaturation type, IIA2	NCBI curation	C2675858		612529	16 Feb 2016	Disease
Amelogenesis imperfecta, hypomaturation type, IIA3	GeneTests	C2750771	319298	613211	02 Mar 2016	Disease
Amelogenesis imperfecta, hypoplastic/hypomaturation, X-linked 2	Office of Rare Diseases	C1845051	9944	301201	16 Feb 2016	Disease
Amelogenesis Imperfecta, Recessive	Illumina Clinical Services Laboratory,Illumina	CN239209	100172		02 Dec 2016	Disease
Amelogenesis imperfecta, type 1E	NCBI curation	C1845053		301200	16 Feb 2016	Disease
Amelogenesis imperfecta, type 1E, with snow-capped teeth	NCBI curation	C4016480			20 Jun 2017	Disease
Amelogenesis imperfecta, type IA	NCBI curation	C4011403		104530	16 Feb 2016	Disease
Amelogenesis imperfecta, type IC	NCBI curation	C2673923		204650	16 Feb 2016	Disease
Amelogenesis imperfecta, type IF	NCBI curation	C4225394		616270	20 Jun 2017	Disease
Amelogenesis imperfecta, type IH	NCBI curation	C4015557		616221	16 Feb 2016	Disease
AMELOGENESIS IMPERFECTA, TYPE IIIB	OMIM	C4539891	617607	617607	06 Aug 2017	Disease
Amelogenesis imperfecta, type IJ	NCBI curation	C4310630		617297	20 Jun 2017	Disease
Amelogenesis imperfecta, type IV	NCBI curation	C1863012		104510	09 Nov 2016	Disease
Ameloonychohypohidrotic syndrome	Office of Rare Diseases	C1863006	647	104570	16 Feb 2016	Disease
Amelotin deficiency	Genetic Testing Registry (GTR)	CN235217	GTR000529548		19 Feb 2016	Disease
Amelotin deficiency	Centogene AG - the Rare Disease Company	CN235217			19 Feb 2016	Disease
Amenorrhea	Human Phenotype Ontology	C0002453	HP:0000141		16 Feb 2016	Finding
Amikacin response	NCBI curation	CN184546			16 Feb 2016	Pharmacological response
amikacin response - Toxicity/ADR	PharmGKB		1444608367PA164744372		06 Jul 2018	Pharmacological response
Amino aciduria with mental deficiency, dwarfism, muscular dystrophy, osteoporosis and acidosis	Office of Rare Diseases	C1859818	763	204730	16 Feb 2016	Disease
Aminoaciduria	Office of Rare Diseases		5794		16 Feb 2016	Disease
Aminoaciduria	Human Phenotype Ontology	C0238621	HP:0003355		16 Feb 2016	Finding
Aminoacylase 1 deficiency	Office of Rare Diseases	C1835922	9741	609924	16 Feb 2016	Disease
aminoglycoside antibacterials response - Toxicity/ADR	PharmGKB	CN236464	1444608367		18 May 2016	Pharmacological response
Aminoglycoside response	NCBI curation	CN184091			16 Feb 2016	Pharmacological response
Aminoglycoside-induced deafness	NCBI curation	C1838854		580000	16 Feb 2016	Pharmacological response
Aminoglycoside-induced hearing loss	Human Phenotype Ontology	C4023100	HP:0011975		16 Feb 2016	Finding
Aminolevulinate dehydratase deficiency porphyria	Office of Rare Diseases		4445		16 Feb 2016	Disease
Amiodarone response	NCBI curation	CN417144			28 Aug 2017	Pharmacological response
Amish lethal microcephaly	Office of Rare Diseases	C1846648	8606	607196	16 Feb 2016	Disease
Amish lethal microcephaly	Genetics Home Reference	C1846648	amish-lethal-microcephaly	607196	16 Feb 2016	Disease
amisulpride response - Toxicity/ADR	PharmGKB	CN236465	1446898992		18 May 2016	Pharmacological response
Amitriptyline response	NCBI curation	CN176769			16 Feb 2016	Pharmacological response
amitriptyline response - Dosage, Toxicity/ADR	PharmGKB	CN236466	1183617220		18 May 2016	Pharmacological response
amitriptyline response - Efficacy	PharmGKB	CN236467	982038252		18 May 2016	Pharmacological response
Amme complex	NCBI curation	C1846242		300194	16 Feb 2016	Disease
Amniotic band syndrome	Office of Rare Diseases		429		16 Feb 2016	Disease
Amniotic constriction ring	Human Phenotype Ontology	C1527388	HP:0009775		16 Feb 2016	Finding
Amniotic constriction rings of arms	Human Phenotype Ontology	C4023809	HP:0010483		16 Feb 2016	Finding
Amniotic constriction rings of legs	Human Phenotype Ontology	C4023804	HP:0010495		16 Feb 2016	Finding
